Animal_id Breed FX2 FX3 FX4 FX5 FX6 FX7 NAVEL COLOR Management_group Sex Proportion_taurine prob hap1 hap2
012251 TC PBP01 10 Alexandria 0 NA Alexandria 8.5 3.5 HD1__10710 Heifer_[H] 0.753619 0.915425796265155 72 129
012252 TC NPG06 10 Alexandria 0 NA Alexandria 7 4 HD1__40 Steer_[S] 0.678969 0.983221058222358 129 22
012254 TC NPG02 10 Alexandria 0 NA NA 7 4 HD1__10513 Steer_[S] 0.643148 0.932345610086123 126 72
012257 TC NPG02 10 Alexandria 0 NA NA 7 4 HD1__13346 Steer_[S] 0.665896 0.991514368547679 145 129
012259 TC NPG07 11 Alexandria 0 NA Alexandria 9 5 HD1__13347 Steer_[S] 0.724184 1 71 72
012260 TC PBP01 11 Alexandria 0 NA NA 8 4 HD1__10725 Heifer_[H] 0.690175 0.99413791675969 71 47
012261 TC PBP01 11 Alexandria 0 NA Alexandria 7 4 HD1__10917 Heifer_[H] 0.596517 0.914891928596546 30 47
012263 TC NPG06 10 Alexandria 0 NA Alexandria 9 1.33333 HD1__10514 Steer_[S] 0.721774 1 72 72
012273 TC NPG07 11 Alexandria 0 NA Alexandria 6 5 HD1__10515 Steer_[S] 0.657523 0.948831471266451 7 129
012274 TC NPG02 11 Alexandria 0 NA NA 9 2 HD1__13350 Steer_[S] 0.63267 1 126 126
012275 TC PTR01 11 Alexandria 0 NA Alexandria 8.5 1.5 HD1__10732 Heifer_[H] 0.692771 1 72 72
012277 TC NPG02 11 Alexandria 0 NA NA 9 4 HD1__13352 Steer_[S] 0.650204 0.952336019167654 136 30
012278 TC PBP01 11 Alexandria 0 NA Alexandria 9 3.5 HD1__10941 Heifer_[H] 0.614305 1 30 30
012279 TC NPG07 11 Alexandria 0 NA Alexandria 6.5 2 HD1__13353 Steer_[S] 0.672163 0.915425796265155 72 129
012281 TC NPG06 11 Alexandria 0 NA Alexandria 9 1.33333 HD1__41 Steer_[S] 0.675968 0.910192945769938 18 72
012288 TC PBP01 10 Alexandria 0 NA Alexandria 7.5 4 HD1__10882 Heifer_[H] 0.701451 0.915425796265155 129 72
012290 TC NPG02 11 Alexandria 0 NA NA 8 2 HD1__13354 Steer_[S] 0.736498 1 72 72
012294 TC NPG07 11 Alexandria 0 NA Alexandria 6.33333 4.33333 HD1__10518 Steer_[S] 0.621414 0.965002257845314 30 145
012295 TC PBP01 11 Alexandria 0 NA NA 8 5.5 HD1__10711 Heifer_[H] 0.642142 0.915425796265155 129 72
012296 TC NPG07 11 Alexandria 0 NA Alexandria 8 4 HD1__42 Steer_[S] 0.684103 0.915425796265155 72 129
012297 TC PTR01 11 Alexandria 0 NA Alexandria 8.5 6 HD1__10718 Heifer_[H] 0.66391 1 72 72
012301 TC PBP01 11 Alexandria 0 NA Alexandria 9 3.5 HD1__10918 Heifer_[H] 0.703186 1 72 72
012302 TC PBP01 11 Alexandria 0 NA Alexandria 6.5 3.5 HD1__497 Heifer_[H] 0.673624 0.932345610086123 126 72
